x, y, ymin, ymax
0.0, 114.56974443804988, 114.56974443804988, 114.56974443804988
5, 120.52481805696445, 120.52481805696445, 120.52481805696445
12, 181.19119754365673, 181.19119754365673, 181.19119754365673
19, 7752.583419839356, 5366.6653246926824, 8466.22064711792
21, 8143.7125748502995, 8143.7125748502995, 8143.7125748502995
22, 39281.4371257485, 27964.071856287424 ,47185.62874251497
24, 82395.20958083833, 69461.07784431138, 91257.48502994012
26, 103591.5305813016, 97388.80498717461, 167897.5771146777
33, 106752.10214520626, 93958.293618732324, 123178.8409196662
36, 65868.2634730539, 65868.2634730539, 65868.2634730539
38, 37844.31137724551, 37844.31137724551, 37844.31137724551 
40, 13710.094201319278, 10418.565276011667, 17184.33850775952
47, 733919.2408350712, 55341.415635233412, 906413.800826002
48, 85029.94011976047,85029.94011976047,85029.94011976047
52, 100460.712903414, 88573.774536205286, 199539.39476273795
59, 102214.2367789145, 94532.517053329409, 140815.206939098
65, 103312.820507851, 97992.660319949178, 1238297.391437735

