x, y, ymin, ymax
0, 13686.304589673207, 13686.304589673207, 13686.304589673207
7, 1971146.5294918683, 53737.13432835821, 545373.1343283582
14, 349495.2089281957, 5898507.462686567, 66746268.65671642
21, 180817.39344722853, 472835.8208955224, 6352238.805970149
28, 119774.5548882023, 60.29850746268656, 444179.1044776119
35, 81548.12300692064, 60.53731343283582, 411940.29850746272
42, 20661.49963270131, 55.52238805970149, 425074.6268656717
47, 27190.19146444319, 49.07462686567165, 53725.37313432836
54, 20101.88560873867, 48.23880597014925, 40477.61194029851

